-aru:-eru
#かかる	かかる	かける	かける
きりかかる	切りかかる	きりかける	切りかける
せめかかる	攻めかかる	せめかける	攻めかける
ひっかかる	ひっかかる	ひっかける	ひっかける
ひっかかる	引っかかる	ひっかける	引っかける
ふきかかる	吹きかかる	ふきかける	吹きかける
もたれかかる	もたれかかる	もたれかける	もたれかける
#かかる	掛かる	かける	掛ける
ひっかかる	引っ掛かる	ひっかける	引っ掛ける
ふきかかる	吹き掛かる	ふきかける	吹き掛ける
もたれかかる	もたれ掛かる	もたれかける	もたれ掛ける
#あがる	上がる	あげる	上げる
あみあがる	編み上がる	あみあげる	編み上げる
あらいあがる	洗い上がる	あらいあげる	洗い上げる
うちあがる	打ち上がる	うちあげる	打ち上げる
うりあがる	売り上がる	うりあげる	売り上げる
おしあがる	押し上がる	おしあげる	押し上げる
おりあがる	織り上がる	おりあげる	織り上げる
かいあがる	買い上がる	かいあげる	買い上げる
かきあがる	描き上がる	かきあげる	描き上げる
かきあがる	書き上がる	かきあげる	書き上げる
きりあがる	切り上がる	きりあげる	切り上げる
くみあがる	組み上がる	くみあげる	組み上げる
くりあがる	繰り上がる	くりあげる	繰り上げる
しあがる	仕上がる	しあげる	仕上げる
したてあがる	仕立て上がる	したてあげる	仕立て上げる
すいあがる	吸い上がる	すいあげる	吸い上げる
すりあがる	刷り上がる	すりあげる	刷り上げる
ずりあがる	ずり上がる	ずりあげる	ずり上げる
せめあがる	攻め上がる	せめあげる	攻め上げる
せりあがる	せり上がる	せりあげる	せり上げる
せりあがる	競り上がる	せりあげる	競り上げる
せりあがる	迫り上がる	せりあげる	迫り上げる
そめあがる	染め上がる	そめあげる	染め上げる
そりあがる	そり上がる	そりあげる	そり上げる
そりあがる	反り上がる	そりあげる	反り上げる
たきあがる	炊き上がる	たきあげる	炊き上げる
たちあがる	立ち上がる	たちあげる	立ち上げる
つきあがる	突き上がる	つきあげる	突き上げる
つみあがる	積み上がる	つみあげる	積み上げる
つりあがる	つり上がる	つりあげる	つり上げる
つりあがる	吊り上がる	つりあげる	吊り上げる
つりあがる	釣り上がる	つりあげる	釣り上げる
にあがる	煮上がる	にあげる	煮上げる
ぬいあがる	縫い上がる	ぬいあげる	縫い上げる
のしあがる	のし上がる	のしあげる	のし上げる
はねあがる	はね上がる	はねあげる	はね上げる
はねあがる	撥ね上がる	はねあげる	撥ね上げる
はねあがる	跳ね上がる	はねあげる	跳ね上げる
ひきあがる	引き上がる	ひきあげる	引き上げる
ふきあがる	吹き上がる	ふきあげる	吹き上げる
ふきあがる	噴き上がる	ふきあげる	噴き上げる
ほりあがる	彫り上がる	ほりあげる	彫り上げる
まいあがる	舞い上がる	まいあげる	舞い上げる
まきあがる	巻き上がる	まきあげる	巻き上げる
